sStart Time, Thu Feb 23 14:42:53 GMT-0700 2023,,
Energy calibration,  Offset: -0.06771931052207947, Slope: 0.1000848338007927, Quadratic: 0
Live Time (s),433.07,,
Real Time (s),522.36,,
Elapsed Computational,1000000,,
Spectrum,,,
Channel, Energy (keV), Counts,
1837,183.7881204,1198,
1838,183.8882052,1147,
1839,183.98829,1192,
1840,184.0883749,1190,
1841,184.1884597,1130,
1842,184.2885446,1180,
1843,184.3886294,1125,
1844,184.4887142,1207,
1845,184.5887991,1128,
1846,184.6888839,1169,
1847,184.7889687,1211,
1848,184.8890536,1158,
1849,184.9891384,1194,
1850,185.0892232,1159,
1851,185.1893081,1161,
1852,185.2893929,1142,
1853,185.3894777,1145,
1854,185.4895626,1086,
1855,185.5896474,1220,
1856,185.6897322,1125,
1857,185.7898171,1161,
1858,185.8899019,1126,
1859,185.9899867,1182,
1860,186.0900716,1123,
1861,186.1901564,1165,
1862,186.2902412,1174,
1863,186.3903261,1168,
1864,186.4904109,1174,
1865,186.5904957,1180,
1866,186.6905806,1123,
1867,186.7906654,1166,
1868,186.8907502,1176,
1869,186.9908351,1180,
1870,187.0909199,1160,
1871,187.1910047,1138,
1872,187.2910896,1161,
1873,187.3911744,1165,
1874,187.4912592,1167,
1875,187.5913441,1134,
1876,187.6914289,1169,
1877,187.7915137,1171,
1878,187.8915986,1173,
1879,187.9916834,1122,
1880,188.0917682,1231,
1881,188.1918531,1187,
1882,188.2919379,1141,
1883,188.3920227,1098,
1884,188.4921076,1064,
1885,188.5921924,1141,
1886,188.6922772,1160,
1887,188.7923621,1082,
1888,188.8924469,1174,
1889,188.9925317,1179,
1890,189.0926166,1146,
1891,189.1927014,1106,
1892,189.2927862,1135,
1893,189.3928711,1208,
1894,189.4929559,1116,
1895,189.5930407,1139,
1896,189.6931256,1179,
1897,189.7932104,1131,
1898,189.8932952,1189,
1899,189.9933801,1127,
1900,190.0934649,1198,
1901,190.1935497,1175,
1902,190.2936346,1157,
1903,190.3937194,1137,
1904,190.4938042,1121,
1905,190.5938891,1105,
1906,190.6939739,1127,
1907,190.7940587,1119,
1908,190.8941436,1098,
